"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"290","749","First:,Second:,Third:","جهات حقوق المرأة","الجهات النفسية في المنظمات","جلسات تقام لعرض المشكلات وتقديم الدعم",NA,NA
"291","753","First:","المركز القومى للمرأة",NA,NA,NA,NA
"292","757","First:,Second:","المجلس القومي للمرأه","السوشيال ميديا",NA,NA,NA
"293","758","First:,Second:","شجره العنف القائم علي العلاقات الاجتماعية","منظمه الصحه العالميه",NA,NA,NA
"294","760","First:,Second:,Third:,Fourth:","منظمة حقوق المرأة العالمية","حساب assault police على الإنستغرام","برنامج هي وبس وجميع حسايات رضوى الشربيني على مواقع التواصل الاجتماعي","مواقع مختلفة تدعم المرأة على جوجل بمقالات متنوعة",NA
"295","772","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"296","774","First:","المجلس القومى للمراة",NA,NA,NA,NA
"297","777","First:,Second:","بيت حواء","مع نادين",NA,NA,NA
"298","780","First:","المركز المصرى لحقوق الإنسان",NA,NA,NA,NA
"299","782","First:","المجلس الأعلى لحقوق المرأة",NA,NA,NA,NA
"300","785","First:,Second:,Third:,Fourth:","المجلس القومي للمراة","المركز المصري لحقوق المراة","مركز نظرة","مركز النديم",NA
"301","786","First:,Second:,Third:,Fourth:,Fifth:","نظرة","المرأة الجديدة","مؤسسة قضايا المرأة","المركز المصري","النديم"
"302","789","First:","وزارة المرأه",NA,NA,NA,NA
"303","790","First:,Second:,Third:,Fourth:,Fifth:","منظمة العفو الدولية وقضايا المرأة","منظمة حقوق المرأة","أستاذة نهاد وبرنامجها وحسابها ع الفيس","أستاذة رضوي الشربيني","بعض الجمعيات والبرامج ف مصر"
"304","792","First:","المجلس القومى للمراة",NA,NA,NA,NA
"305","793","First:,Second:,Third:","المجلس القومى للمراة","الخط الساخن للأمومة والطفولة","مركز قضايا المرأة المصرية",NA,NA
"306","794","First:,Second:,Third:,Fourth:","المركز المصرى لحقوق المرأة","مركز النديم لضحايا العنف الأسري","المركز القومى للمرأة المعنفة","الجمعية المصرية للتوعية والصحة النفسية",NA
"307","796","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"308","801","First:","المجلس القومي لحماية حقوق المرأة",NA,NA,NA,NA
"309","803","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"310","806","First:,Second:","العنف ضد المرأه","جمعيات حقوق المرأه",NA,NA,NA
"311","810","First:,Second:,Third:","جمعية وعي","م كز قضايا المراة المصرية","بيت حواء",NA,NA
"312","812","First:,Second:","المركز المصرى لحقوق المرأة","المركز القومى للمرأة",NA,NA,NA
"313","813","First:,Second:,Third:","فيس بوك","يوتيوب","جوجل",NA,NA
"314","814","First:,Second:,Third:","هاله سمير","محمد عطيه","رضوي الشربيني",NA,NA
"315","825","First:","انتوا برضو",NA,NA,NA,NA
"316","826","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"317","828","First:","دعم المرأه",NA,NA,NA,NA
"318","833","First:","المجلس القومى للمراه",NA,NA,NA,NA
"319","835","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","يوتيوب","انستجرام","واتس اب","تويتر"
"320","838","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"321","841","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"322","844","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان","مؤسسة عظيمات مصر","الجمعيه المصريه لحقوق المراة",NA
"323","854","First:,Second:","المجلس القومي للمرأة","وزارة الداخلية",NA,NA,NA
"324","855","First:,Second:,Third:,Fourth:,Fifth:","البيت والاهل","الجهات الامنيه","مجلس حقوق المرة","بعد الجمعيات الاهليه","بعض الاحزاب مجلس امانة المراءه"
"325","861","First:","حكايات نهاد",NA,NA,NA,NA
"326","865","First:","لا اعرف",NA,NA,NA,NA
"327","867","First:","المركز القومى لدعم المرأه",NA,NA,NA,NA
"328","870","First:,Second:","جمعيات دعم المراءه","القانون",NA,NA,NA
"329","873","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"330","874","First:,Second:","جمعية دعم المراة","جمعية حقوق المرأة",NA,NA,NA
"331","878","First:","المجلس القومي لحقوق المرأه",NA,NA,NA,NA
"332","879","First:,Second:,Third:","الخط الساخن للهيىة الوطنية لمقاومه العنف الاسري","مأوي محلي للنساء او مراكز الدعم في مواجهة الازمات","محكمة محلة",NA,NA
"333","882","First:,Second:,Third:","المجلس القومي للمرأة","البرامج التلفزيونيه","صفحات حقوق المرأة على الفيس بوك",NA,NA
"334","887","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"335","894","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"336","896","First:,Second:","الجمعيات","المحاكم الاسريه",NA,NA,NA
"337","897","First:","المركز القومي للإمومه والطفوله",NA,NA,NA,NA
"338","898","First:,Second:","المجلس القومى للمرأه","جمعية حقوق الانسان",NA,NA,NA
"339","900","First:","المجلس القومي لحقوق المراه",NA,NA,NA,NA
"340","902","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للطفولة والأمومة","خط دعم المرأة المصرية",NA,NA
"341","910","First:,Second:","المجلس القومى للمرأة","الشرطة",NA,NA,NA
"342","916","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"343","918","First:","لا اعلم",NA,NA,NA,NA
"344","920","First:,Second:,Third:,Fourth:","المركز المصرى لحقوق المرأه","مركز قضايا المرأه","جمعيه الفن للتنميه","المجلس القومى لحقوق المرأه",NA
"345","921","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"346","931","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","بصي","نساء مصر","اليونيسف","خطيرة"
"347","935","First:,Second:","المجلس القومى للمرأة","انتي مش لوحدك",NA,NA,NA
"348","944","First:,Second:,I do not know any.","المجلس القومى للمراه","الامومه والطفوله",NA,NA,NA
"349","946","First:","الدكتوره نهاد",NA,NA,NA,NA
"350","948","First:,Second:","مراكز الارشاد الاسري","مراكز الارشاد النفسي",NA,NA,NA
"351","950","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"352","955","First:","مركز حقوق المرأه",NA,NA,NA,NA
"353","956","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"354","961","First:,Second:","دعم نهاد ابو القمصان","المجلس القومي للمرأة",NA,NA,NA
"355","963","First:,Second:","المركز القومي للمراه","النت",NA,NA,NA
"356","964","First:,Second:","برامج تليفزيونية","مواقع نت",NA,NA,NA
"357","965","First:","المركز القرمي للمرأه",NA,NA,NA,NA
"358","969","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"359","970","First:","المجلس القومي للمراه",NA,NA,NA,NA
"360","972","First:","قاوم",NA,NA,NA,NA
"361","974","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","الجمعيات الأهلية","المركز المصري لحقوق المرأة","جمعية نهوض وتنمية المرأة","ملتقى الهيئات لتنمية المرأة"
"362","975","First:","الاستاذه نهاد فقط",NA,NA,NA,NA
"363","976","First:","انتي مش لوحدك",NA,NA,NA,NA
"364","978","First:","حكايات نهاد",NA,NA,NA,NA
"365","980","First:,Second:,Third:,Fourth:,Fifth:","محكمة محلية","الخط الساخن للهيئة الوطنية لمقاومة العنف الأسري","مركز الاستشارات والصحة العقلية","المجلس القومي للمراه","تطبيقات الموبايل"
"366","985","First:,Second:,I do not know any.","ياسمين مدكور","انتي مش لوحدك",NA,NA,NA
"367","987","First:,Second:","حكايات نهاد","أنتي مش لوحدك",NA,NA,NA
"368","989","First:","قناة د نهاد ابو القمصان على يوتيوب",NA,NA,NA,NA
"369","990","First:,Second:","حكايات نهاد","فيس بوك",NA,NA,NA
"370","991","First:,Second:","المجلس القومي للامومه والطفوله","المركز المصري للمراه",NA,NA,NA
"371","994","First:","المجلس القومي لحقوق المراه",NA,NA,NA,NA
"372","995","First:","المجلس القومى للمراه",NA,NA,NA,NA
"373","998","First:,Second:","جمعيه حقوق المرأه","نهاد ابو القمصان",NA,NA,NA
"374","999","Second:",NA,"جمعية تنمية المرأةبشربين",NA,NA,NA
"375","1002","First:,Second:,Third:,Fourth:,Fifth:","مراكز دعم المرأه","مراكز حقوق الانسان","فيس بوك","واتس اب","الجهات القانونيه"
"376","1003","First:,Second:","المجلس القومي لحقوق المرأة","السلطات المختصة",NA,NA,NA
"377","1007","First:","الانترنت",NA,NA,NA,NA
"378","1008","First:,Second:","المجلس القومي للمرأة","النيابة العامة",NA,NA,NA
"379","1011","First:","جوجل",NA,NA,NA,NA
"380","1018","First:,Second:","بعض الجمعيات","صفحات على الفيس بوك",NA,NA,NA
"381","1021","First:,Second:,Third:,Fourth:,Fifth:","منظمة الحياة","مشورة فردية","مجموعات المساندة","منظمة حقوق المرأة","منظمة حقوق الانسان"
"382","1023","First:","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"383","1026","First:","المجلس القومى للامومه والطفولة",NA,NA,NA,NA
"384","1027","First:","مقالات عامه",NA,NA,NA,NA
"385","1032","First:,Second:","وزارة الداخلية","المجلس القومي للمرأة",NA,NA,NA
"386","1040","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"387","1043","First:,Second:","محكمة الاسرة","برامج دعم المرأة",NA,NA,NA
"388","1047","First:,Second:,Third:","الشؤون القانونية للمجلس القومي للمرأة","محكمة الأسرة مكتب الاستشارات الأسرية","اي محامي ثقة",NA,NA
"389","1048","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق الإنسان",NA,NA,NA
"390","1049","First:,Second:,Third:,Fourth:,Fifth:","محاكم الاسره","جمعيات المراءه","حقوق الانسان","وسائل الإعلام","الاصدقاء"
"391","1052","First:","مجلس المرأه",NA,NA,NA,NA
"392","1054","First:","القانون",NA,NA,NA,NA
"393","1057","First:,Second:,Third:","المجلس القومي لحقوق المرأة","الجمعية المصرية للتوعية والصحة النفسية","مركز النديم لضحايا العنف الاسري",NA,NA
