"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"279","737","First:,Second:,Third:,Fourth:,Fifth:","الواتس اب","اليوتيوب","ماسنحر","الفيس بوك","مواقع محدده ومعلن عنها"
"280","740","Third:",NA,NA,"برامج دعم المراه",NA,NA
"281","742","First:,Second:,Third:,Fourth:","قنوات على اليوت يوب","صفحات على الفيس","سؤال الأصحاب على الجروبات المختلفه","البحث على جوجل",NA
"282","745","First:,Second:","فيسبوك","اليوم السابع",NA,NA,NA
"283","747","First:,Second:,Third:,Fourth:,Fifth:","Facebook","تليفزيون","YouTube","Inistigram","Whatsapp"
"284","748","First:,Second:,Third:,Fourth:","صفحات الفيس بوك","جروبات الفيس","بعض الصديقات","اختي",NA
"285","749","First:,Second:","قصص واقعية","جروب لعرض المشاكل",NA,NA,NA
"286","753","First:","المركز القومى للمرأة",NA,NA,NA,NA
"287","757","First:,Second:","المجلس القومي للمرأه","الشرطه و الجهات المختصه",NA,NA,NA
"288","758","First:","مركز صحه المراه والتعليم",NA,NA,NA,NA
"289","760","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","موقع منظمة حقوق المرأة العالمية وكل حسابات المنظمة في مواقع التواصل الاجتماعي","يوتيوب","تويتر","إنستغرام assault police"
"290","774","First:","المجلس القومى للمراة",NA,NA,NA,NA
"291","777","First:,Second:,Third:","مركز قضايا المراة","مركز النديم لضحايا العنف الاسرى","الجمعية المصرية للتوعية والصحة النفسية",NA,NA
"292","780","First:,Second:,Third:,Fourth:,Fifth:","برنامج حكايات نهاد","سلسلة انتى مش لوحدك","صفحة نهاد ابو القمصان على الفيس","المركز المصرى لحقوق المراه","بنك المعرفة المصرى"
"293","785","First:,Second:,Third:","المركز القومي للطفولة والامومة","المجلس القومي للمرأة","مركز نظرة",NA,NA
"294","786","First:,Second:,Third:","المركز المصري","مؤسسة قضايا المرأة","نظرة",NA,NA
"295","787","First:,Second:,Third:,Fourth:","اليوتيوب","مواقع النوعيه","الفيس بوك","الرسايل اللي بتبعتوها علي الواتس اب",NA
"296","790","First:,Second:,Third:,Fourth:,Fifth:","هيئة الأمم المتحدة للمرأة","نساء ضد العنف","برنامج أستاذة نهاد وحكايتها","أستاذة رضوي الشربيني وبرنامجها هي وبس","جمعية تضامن المرأة العربية"
"297","794","First:,Second:,Third:,Fourth:","المركز المصرى لحقوق المرأة","المركز القومى للمرأة المعنفة","مركز النديم لضحايا العنف الأسري","الجمعيه المصريه للتوعية والصحة النفسية",NA
"298","795","First:,Second:","الفيس بوك","البرامج",NA,NA,NA
"299","796","First:,Second:","Amnesty","Mayoclinic",NA,NA,NA
"300","801","First:,Second:","تويتر","فيسبوك",NA,NA,NA
"301","803","First:,Second:,Third:","المجلس القومي للمرأة","جمعيات دعم وتمكين المرأة","مواقع التواصل الاجتماعي المتعدده لدعم المرأة المتعرضة للعنف والتحرش",NA,NA
"302","806","First:,I do not know any.","دعم المرأه",NA,NA,NA,NA
"303","809","Second:",NA,"المركز القومى للمرأة",NA,NA,NA
"304","810","First:,Second:,Third:","مركز قضايا المرأة المصرية","جمعية وعي","بيت حواء",NA,NA
"305","813","First:,Second:,Third:","الفيس بوك","اليوتيوب","جوجل",NA,NA
"306","814","First:,Second:,Third:","هاله سمير","محمد عطيه","رضوي الشربيني",NA,NA
"307","815","First:,Second:","الفيس بوك","البرامج التلفزيونيه",NA,NA,NA
"308","821","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأة","المجلس الاعلي لدعم المرأة","حياة كريمة","دعم أمهات المستقبل","حق الفتاة"
"309","824","First:,Second:","Facebook","I Watsap",NA,NA,NA
"310","825","First:","انتوا <U+0001F602>",NA,NA,NA,NA
"311","826","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي لامرأءه","خط نجده الطفل","قسم الشرطه","السوشيال ميديا","برامج التوك شو"
"312","827","First:","المركز القومي للمرأة",NA,NA,NA,NA
"313","829","First:","التواصل مع المجلس القومس للمرأة عبر الانترنت",NA,NA,NA,NA
"314","832","First:,Second:,Third:,Fourth:","الواتساب","فيس بوك","الخط الساخن","الطبيب النفسي",NA
"315","835","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","انستجرام","يوتيوب","واتس اب","تليجرام"
"316","837","First:,Second:","سيدات مصر women  of egypt","حركة ضد التحرش",NA,NA,NA
"317","838","First:,Second:","برنامج هى وبس لرضوى على الفيس","طبعا الفيديوهات التى يتم إرسالها من ناحيتكم لنا",NA,NA,NA
"318","841","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"319","843","First:,I do not know any.","ال",NA,NA,NA,NA
"320","844","First:,Second:,Third:,Fourth:","المجلس القومي للمراه","المجلس القومي لحقوق الإنسان","جمعية النهوض بالمرأة","مؤسسة عظيمات مصر",NA
"321","847","First:,Second:,Third:","المجلس القومى للمرأة","حقوق الإنسان","تمكين المرأة",NA,NA
"322","852","First:,Second:,Third:","المجلس القومي للمرأه","جروب قاوم","مباحث الانترنت",NA,NA
"323","853","First:,Second:,Third:,Fourth:,Fifth:","Face book","Whatsapp","Twitter","Instagram","Telegram"
"324","854","First:,Second:","المجلس القومي للمرأة","وزارة الداخلية",NA,NA,NA
"325","855","First:,Second:,Third:,Fourth:,Fifth:","من الفيس قضايا واحوال المعلمين","من الفيس اليوم السابع","من الفيس يوميات زوجه مطحونه وطالع عينها","من الفيس ستات موفره في البيت مدبره","من الفيس البيت المسلم"
"326","856","First:,Second:,Third:,Fourth:,Fifth:","فسيبوك","واتساب","انستجرام","تويتر","جوجل"
"327","857","First:,Second:","صفحات الفيسبوك","المجلس القومي للمرأة",NA,NA,NA
"328","859","First:","المجلس القومي لحقوق المراه",NA,NA,NA,NA
"329","864","First:,Second:","لا يوجد","ممكن صفحات الفيس",NA,NA,NA
"330","865","First:","حقوق المرأة",NA,NA,NA,NA
"331","869","First:,Second:","Facebook","Intgram",NA,NA,NA
"332","870","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"333","873","First:,Second:","منظمة حقوق المرأة","المركز المصرى لحقوق المرأة",NA,NA,NA
"334","874","First:,Second:,Third:","الفيسبوك","الواتس","اليوتيوب",NA,NA
"335","876","First:","سيدات مصر",NA,NA,NA,NA
"336","879","First:,Second:,Third:","الخط الساخن للهيئةالوطنية لمقاومة العنف الأسري 799","مأوي محلي للنساء أو مركز للدعم في مواجهة الأزمات","محكمة محلية",NA,NA
"337","882","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق المرأة",NA,NA,NA
"338","894","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"339","896","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","اليوتيوب","الواتس اب","الانستجرام","التيك توك"
"340","897","First:","المركز القومي لامومه والطفوله",NA,NA,NA,NA
"341","898","First:,Second:","منظمه حماية حقوق المرأة المصريه","المجلس القمى للمرأة",NA,NA,NA
"342","902","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"343","903","First:","دعم المرأه",NA,NA,NA,NA
"344","910","First:,Second:,Third:,Fourth:","فيس بوك","واتس اب","تويتر","جوجل",NA
"345","918","First:","لا اعلم",NA,NA,NA,NA
"346","921","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"347","931","First:,Second:,Third:,Fourth:,Fifth:","احكي","نساء مصر","ولها وجوه اخرى","الحب ثقافة","برودكاست جنسويات"
"348","934","First:,Second:","صفحات الفيس","جروبات الفيس",NA,NA,NA
"349","935","First:,Second:","المجلس القومي للمرأة","جمعية حقوق الإنسان",NA,NA,NA
"350","940","First:,Second:,Third:","7cups","Better help","Women support",NA,NA
"351","941","First:","assult police",NA,NA,NA,NA
"352","946","First:,Second:","المجلس القومي للمرأة","الدكتورة نهاد",NA,NA,NA
"353","949","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات الأستاذة نهاد ابو القمصان","لااعرف","لااعرف","لا اعرف","لا اعرف"
"354","950","First:,Second:","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان",NA,NA,NA
"355","954","First:,Second:,Third:","فيس","يوتيوب","جوجل",NA,NA
"356","955","First:","مركز حقوق وحمايه المرأه",NA,NA,NA,NA
"357","956","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"358","958","First:","جروب  To Be a lady",NA,NA,NA,NA
"359","959","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"360","961","First:,Second:","حركة دعم","المجلس القومي للمرأة",NA,NA,NA
"361","963","First:,Second:,Third:","الموسسات المختصه","الكلام مع الزوج","احد من افراد الاسره",NA,NA
"362","965","First:,Second:","المركز القومي للمرأه","حقوق الانسان",NA,NA,NA
"363","967","First:","قضايا المراة",NA,NA,NA,NA
"364","970","First:","فيس بوك",NA,NA,NA,NA
"365","972","First:","قاوم",NA,NA,NA,NA
"366","975","First:,Second:,Third:","حكايات نهاد","فيسيوك","الاخبار والحوادث",NA,NA
"367","976","First:","انتي مش لوحدك",NA,NA,NA,NA
"368","977","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراه المصريه","مركز النديم لضحايا العنف الأسري","مؤسسه المراه المصريه للقانون وثقافته السلام","امسك متحرش","جمعيه المراه والتنميه"
"369","979","First:,I do not know any.","حكايات نهاد",NA,NA,NA,NA
"370","980","First:","المجلس القومي للمراه",NA,NA,NA,NA
"371","981","First:,Second:,I do not know any.","انتى مش لوحدك","الواتساب",NA,NA,NA
"372","984","First:","منظمة الامم المتحدة",NA,NA,NA,NA
"373","985","First:,Second:,Third:","ياسمين مدكور","انتي مش لوحدك","جروب عالفيس الناس بتنشر فيه اللي تعرضتله",NA,NA
"374","987","First:,Second:","انتي مش لوحدك","حكايات نهاد",NA,NA,NA
"375","989","First:,Second:","صفحة المجلس القومى للمرأة","فتاة دكتورة نهاد على يوتيوب",NA,NA,NA
"376","990","First:","حكايات نهاد",NA,NA,NA,NA
"377","991","First:,Second:","المجلس القومي للامومه والطفوله 16000","المركز المصري للمراه 19576",NA,NA,NA
"378","994","First:,Second:,Third:","الاهل","جمعيات مختصه","المجلس القومي للمرأة",NA,NA
"379","995","First:,Second:,Third:","16000 فى حالة وجود اطفال مثلا","المجلس القومى للمراة","النيابة العامه",NA,NA
